2026-02-25 13:15:19.157 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #21 extraite: À vendre – Appartement S+3 au ...
2026-02-25 13:15:20.055 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #22 extraite: À vendre – Appartement S+2 au ...
2026-02-25 13:15:20.631 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #23 extraite: À vendre – Appartement S+1 au ...
2026-02-25 13:15:21.346 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #24 extraite: Appartement S+3 – 2ᵉ étage | R...
2026-02-25 13:15:21.974 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #25 extraite: À vendre – Appartement S+3 au1...
2026-02-25 13:15:22.819 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #26 extraite: À vendre – Appartement S+1 au ...
2026-02-25 13:15:23.614 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #27 extraite: Appartement S+3 – 6ᵉ étage | R...
2026-02-25 13:15:24.601 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #28 extraite: Appartement S+3 – 3ᵉ étage | R...
2026-02-25 13:15:25.499 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #29 extraite: À louer | Appartement S+2 à Sa...
2026-02-25 13:15:26.126 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #30 extraite: À louer – Appartement S+3 à Ka...
2026-02-25 13:15:26.126 | INFO     | __main__:scrape:432 - ✅ 30 annonces trouvées sur la page 2
2026-02-25 13:15:29.788 | INFO     | __main__:go_to_next_page:387 - ➡️ Tentative navigation directe: https://www.tayara.tn/immobilier/vente/?page=3
2026-02-25 13:15:43.746 | INFO     | __main__:scrape:423 - 📄 Scraping page 3/3
2026-02-25 13:15:53.473 | INFO     | __main__:extract_annonces_from_page:193 - ✅ Sélecteur 'article' a trouvé 131 éléments
2026-02-25 13:15:53.474 | INFO     | __main__:extract_annonces_from_page:202 - 📊 131 annonces potentielles trouvées
2026-02-25 13:15:54.431 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #1 extraite: A vendre Local Commercial de 6...
2026-02-25 13:15:55.195 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #2 extraite: A VENDRE – Appartement S+1 Hau...
2026-02-25 13:15:56.161 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #3 extraite: A VENDRE – Appartement S+1 Hau...
2026-02-25 13:15:56.981 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #4 extraite: A vendre Local Commercial de 8...
