source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,terrain_viabilise,constructible,dimensions_terrain,facade,acces_route,acces_electricite,acces_eau,vocation
diarkoum,https://diarkoum.tn/details.php?id_annonce=14225,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14224,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14223,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14222,Terrain,60000,2024-08-04,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14221,Terrain,60000,2024-08-03,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14220,Terrain,60000,2024-08-03,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14218,Terrain,60000,2024-08-03,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14216,Terrain,60000,2024-08-03,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14214,Terrain,60000,2024-08-03,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14212,Terrain,60000,2024-08-03,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14209,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14207,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14205,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14202,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14201,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14200,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14194,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14199,Terrain,60000,2024-08-02,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14191,Terrain,60000,2024-08-01,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14188,Terrain,60000,2024-08-01,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14185,Terrain,60000,2024-08-01,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14184,Terrain,60000,2024-08-01,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14183,Terrain,60000,2024-08-01,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14182,Terrain,60000,2024-08-01,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
