source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,etat,standing,nb_chambres,nb_salles_bain,dressing,balcon,parking,piscine,chauffage_central,jardin,etage,ascenseur,syndic,climatisation
diarkoum,https://diarkoum.tn/details.php?id_annonce=9789,Appartement,350000,2023-03-29,Sousse,Sousse Médina,Sousse Médina,4000,102,Non,Non,Neuf,Non précisé,2,1,Non,Oui,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9788,Appartement,350000,2023-03-29,Sousse,Sousse Médina,Sousse Médina,4000,115,Non,Non,Neuf,Non précisé,2,1,Non,Oui,Non,Non,Non,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9787,Appartement,310000,2023-03-29,Sousse,Sousse Médina,Sousse Médina,4000,138,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Non,Non,Non,Non,0,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9675,Appartement,2500,2023-03-27,Ben Arous,El Mourouj,El Mourouj,2074,140,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9670,Appartement,8000,2023-03-27,Tunis,La Marsa,La Marsa,2070,132,Non,Non,Neuf,Haut standing,2,2,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9764,Appartement,310000,2023-03-25,Nabeul,Hammamet,Hammamet,8050,131,Non,Non,Neuf,Moyen standing,3,2,Non,Oui,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9763,Appartement,580000,2023-03-25,Nabeul,Hammamet,Hammamet,8050,220,Non,Non,Neuf,Luxe,4,4,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9754,Appartement,225,2023-03-23,Nabeul,Hammamet,Hammamet,8050,100,Non,Non,Neuf,Non précisé,2,,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9753,Appartement,225,2023-03-23,Nabeul,Hammamet,Hammamet,8050,100,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9739,Appartement,890000,2023-03-21,Nabeul,Hammamet,Hammamet,8050,190,Non,Non,Neuf,Non précisé,2,2,Non,Non,Oui,Oui,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9723,Appartement,185000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,95,Non,Non,Neuf,Non précisé,2,1,Oui,Oui,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9737,Appartement,185000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,100,Non,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,4,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9738,Appartement,220000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,120,Non,Non,Neuf,Luxe,2,1,Oui,Non,Non,Non,Non,Non,1,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9733,Appartement,340000,2023-03-21,Nabeul,Hammamet,Hammamet,8050,114,Non,Non,Neuf,Haut standing,2,1,Oui,Non,Non,Oui,Non,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9727,Appartement,220000,2023-03-21,Nabeul,Kélibia,Kélibia,8000,109,Non,Oui,Neuf,Non précisé,2,1,Oui,Non,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9715,Appartement,450000,2023-03-19,Sousse,Hammam Sousse,Hammam Sousse,4011,200,Non,Non,Neuf,Haut standing,4,3,Oui,Non,Oui,Non,Oui,Oui,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9705,Appartement,520000,2023-03-18,Bizerte,Ras Jebel,Ras Jebel,7000,220,Oui,Non,Neuf,Luxe,6,3,Non,Non,Non,Non,Non,Non,3,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9666,Appartement,140000,2023-03-08,Nabeul,Kélibia,Kélibia,8000,85,Titre Bleu,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,1,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9667,Appartement,220000,2023-03-08,Nabeul,Kélibia,Kélibia,8000,119,Titre Bleu,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Oui,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9665,Appartement,145000,2023-03-08,Nabeul,Kélibia,Kélibia,8000,110,Titre Bleu,Non,Neuf,Non précisé,2,1,Non,Non,Non,Non,Non,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9612,Appartement,170000,2023-03-01,Nabeul,Kélibia,Kélibia,8000,108,Non,Non,Neuf,Non précisé,,,Non,Non,Non,Non,Non,Non,,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9580,Appartement,825000,2023-02-27,Tunis,Le Kram,Le Kram,2015,165,Non,Non,Neuf,Moyen standing,3,2,Oui,Oui,Oui,Non,Oui,Oui,2,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9387,Appartement,360000,2023-02-27,Tunis,El aouina,El aouina,2045,119,Non,Non,Neuf,Non précisé,1,1,Non,Non,Oui,Non,Oui,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9391,Appartement,210000,2023-02-27,Ariana,Ariana Ville,Ariana Ville,2080,126,Non,Non,Neuf,Non précisé,3,1,Non,Oui,Oui,Non,Oui,Non,2,Non,Non,Non
diarkoum,https://diarkoum.tn/details.php?id_annonce=9534,Appartement,180000,2023-02-22,Tunis,La Marsa,La Marsa,2070,70,Non,Non,Neuf,Moyen standing,1,1,Non,Non,Oui,Non,Oui,Oui,0,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9533,Appartement,1300,2023-02-22,Tunis,La Marsa,La Marsa,2070,40,Non,Non,Neuf,Moyen standing,,,Non,Non,Non,Non,Oui,Non,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9507,Appartement,550000,2023-02-17,Tunis,Le Kram,Le Kram,2015,153,Non,Non,Neuf,Moyen standing,3,2,Oui,Non,Oui,Non,Oui,Oui,,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9492,Appartement,770000,2023-02-17,Tunis,Le Kram,Le Kram,2015,220,Non,Non,Neuf,Moyen standing,3,2,Oui,Non,Oui,Non,Oui,Oui,0,Non,Non,Oui
diarkoum,https://diarkoum.tn/details.php?id_annonce=9486,Appartement,850000,2023-02-16,Tunis,Carthage,Carthage,2016,150,Non,Non,Neuf,Non précisé,3,2,Oui,Non,Non,Non,Oui,Oui,0,Non,Non,Non
