source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_pieces,etage,nbre_chambres,nbre_sdb,ascenseur,parking,meuble,climatisation,chauffage_central,jardin,balcon,standing,syndic,piscine,dressing,vue_mer,titre_foncier,etat
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-ain-zaghouan-la-nouvelle-soukra-mav1634/,Appartement,Tunis,la marsa,la marsa,2070,590000,,11 avril 2025,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-carthage-byrsa-mav1757/,Appartement,Tunis,la marsa,la marsa,2070,330000,,11 avril 2025,S+3,,3,1,,,,,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-vue-sur-mer-a-la-goulette-zav1845/,Appartement,Tunis,la marsa,la marsa,2070,380000,,9 avril 2025,S+1,,1,1,,Oui,,Oui,Oui,,Oui,,,,,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-ain-zaghouan-zav1663/,Appartement,Tunis,la marsa,la marsa,2070,320000,,9 avril 2025,S+3,RDC,3,1,,,,Oui,Oui,Oui,,,,Oui,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-hst-6/,Appartement,Ben Arous,ezzahra,ezzahra,2034,3600,144,9 avril 2025,S+3,,3,1,Oui,Oui,,Oui,Oui,,Oui,Haut,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-hst-2/,Appartement,Ben Arous,ezzahra,ezzahra,2034,280,134,4 mars 2025,S+2,3,2,1,,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-6/,Appartement,Nabeul,Mrezga,Mrezga,8000,280,89,4 mars 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-5/,Appartement,Nabeul,megrine coteaux,megrine coteaux,2013,2250000,89,27 février 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-2/,Appartement,Ben Arous,megrine coteaux,megrine coteaux,2013,2800000,134,24 février 2025,S+3,3,3,1,,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-4/,Appartement,Nabeul,megrine coteaux,megrine coteaux,2013,225,89,24 février 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-3/,Appartement,Nabeul,Mrezga,Mrezga,8000,0,89,16 février 2025,S+1,,1,1,,Oui,,,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-ain-zaghouan-nord-mav1790/,Appartement,Tunis,ain zaghwene,ain zaghwene,1000,395000,,23 décembre 2024,S+1,,1,1,,Oui,,Oui,Oui,,Oui,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-la-marsa-mav1540/,Appartement,Tunis,la marsa,la marsa,2070,395000,,4 décembre 2024,S+2,,2,1,,,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-rd/,Appartement,Bizerte,,,N/A,0,,1 décembre 2024,S+2,RDC,2,,,,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-aux-jardins-de-carthage-mav1772/,Appartement,Tunis,jardins de carthage,jardins de carthage,1000,890000,,30 novembre 2024,S+3,,3,1,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-la-nouvelle-soukra-mav1783/,Appartement,Tunis,soukra,soukra,2010,277000,,29 novembre 2024,S+1,RDC,1,1,,,,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-la-soukra-mav1778-2/,Appartement,Ariana,la soukra,la soukra,ariana,241000,,29 novembre 2024,S+1,,1,1,,Oui,,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-aux-jardins-de-carthage-mav1735/,Appartement,Tunis,jardins de carthage,jardins de carthage,1000,345000,,29 novembre 2024,S+1,RDC,1,1,,,,Oui,Oui,Oui,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-la-soukra-mav1778/,Appartement,Ariana,la soukra,la soukra,ariana,241000,,28 novembre 2024,S+1,,1,1,,Oui,,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-nouvelle-soukra-mav1780/,Appartement,Ariana,ain zaghwene,ain zaghwene,1000,500000,,28 novembre 2024,S+3,,3,2,,,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-hst-2/,Appartement,Ben Arous,megrine coteaux,megrine coteaux,2013,280000,134,27 novembre 2024,S+3,3,3,1,,Oui,,Oui,Oui,,Oui,Haut,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s-1-a-ain-zaghouan-mav1768/,Appartement,Tunis,ain zaghwene,ain zaghwene,1000,291000,,26 novembre 2024,S+1,,1,1,,Oui,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-nord-zav1739/,Appartement,Tunis,ain zaghwene,ain zaghwene,1000,575000,,26 novembre 2024,S+2,,2,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-mav1767/,Appartement,Tunis,ain zaghwene,ain zaghwene,1000,260000,,26 novembre 2024,S+2,,2,1,,Oui,,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s4-a-la-soukra-mav1393/,Appartement,Ariana,la soukra,la soukra,ariana,430000,,15 novembre 2024,S+4,,4,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/duplex-s1-avec-terrasse-a-ain-zaghouan-nord-mav1520/,Appartement,Tunis,ain zaghwene nord,ain zaghwene nord,1000,345000,,11 novembre 2024,S+1,RDC,1,1,,,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/duplex-s3-avec-jardin-a-la-marsa-zdv0068/,Appartement,Tunis,la marsa,la marsa,2070,1100000,,11 novembre 2024,S+3,RDC,3,1,,Oui,,Oui,Oui,Oui,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-mav1668/,Appartement,Ariana,la soukra,la soukra,ariana,650000,,7 novembre 2024,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-mav1745-2/,Appartement,Ariana,LA SOUKRA,LA SOUKRA,ariana,600000,,7 novembre 2024,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-avec-jardin-aux-jardins-de-carthage-mav1762/,Appartement,Tunis,carthage,carthage,2016,650000,,5 novembre 2024,S+2,RDC,2,1,,Oui,,Oui,Oui,Oui,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-avec-jardin-aux-jardins-de-carthage-mav1761/,Appartement,Tunis,jardins de carthage,jardins de carthage,1000,240000,,5 novembre 2024,S+3,RDC,3,1,,Oui,,Oui,Oui,Oui,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-ain-zaghouan-nord-mav1634/,Appartement,Tunis,lac1,lac1,1000,591000,,1 novembre 2024,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-nord-mav1633/,Appartement,Tunis,ain zaghwene,ain zaghwene,1000,408000,,1 novembre 2024,S+2,,2,1,,Oui,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s1-a-la-soukra-mav1754/,Appartement,Ariana,la soukra,la soukra,ariana,295000,,1 novembre 2024,S+1,,1,1,,Oui,,Oui,Oui,,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/penthouse-s4-avec-piscine-aux-jardins-de-carthage-zav1741/,Appartement,Tunis,JARDINS DE CARTHAGE,JARDINS DE CARTHAGE,1000,3000000,,1 novembre 2024,S+4,,4,1,,Oui,,Oui,Oui,Oui,,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-goulette-zav1038/,Appartement,Tunis,la goulette,la goulette,2060,380000,,29 octobre 2024,S+3,,3,1,,,,Oui,Oui,,Oui,,,,Oui,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-avec-jardin-a-ain-zaghouan-mav1749/,Appartement,Tunis,ain zaghwene,ain zaghwene,1000,440000,,29 octobre 2024,S+2,RDC,2,1,,Oui,,Oui,Oui,Oui,,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-mav1745/,Appartement,Ariana,la soukra,la soukra,ariana,600000,,24 octobre 2024,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-pres-de-la-mer-a-khair-eddine-mav1742/,Appartement,Tunis,la goulette,la goulette,2060,370000,,24 octobre 2024,S+2,,2,1,,,,Oui,Oui,,Oui,,,,,Oui,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-mav1744/,Appartement,Tunis,la soukra,la soukra,ariana,630000,,24 octobre 2024,S+3,,3,1,,Oui,,Oui,Oui,,Oui,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-avec-jardin-a-la-marsa-mav1639/,Appartement,Tunis,la marsa,la marsa,2070,240000,,22 octobre 2024,S+2,RDC,2,1,,,,Oui,Oui,Oui,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/des-appartements-s2-a-vendre-a-la-marsa-mav1731/,Appartement,Tunis,la marsa,la marsa,2070,450000,,17 octobre 2024,S+2,,2,1,Oui,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-meuble-a-ain-zaghouan-el-wahat-mav1737/,Appartement,Tunis,ain zaghwen nord,ain zaghwen nord,1000,365000,,17 octobre 2024,S+2,,2,1,,Oui,Oui,Oui,Oui,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-aux-jardins-de-carthage-mav1733/,Appartement,Tunis,JARDINS DE CARTHAGE,JARDINS DE CARTHAGE,1000,680000,,17 octobre 2024,S+3,,3,1,,Oui,Oui,Oui,Oui,Oui,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s2-a-ain-zaghouan-nord-zav1734/,Appartement,Tunis,ain zaghouan,ain zaghouan,1000,470000,,12 octobre 2024,S+2,,2,1,,Oui,,Oui,Oui,,Oui,,,,Oui,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-jardins-de-carthage-zav1266/,Appartement,Ariana,jardins de carthage,jardins de carthage,1000,1600000,,11 octobre 2024,S+3,,3,1,,Oui,,Oui,Oui,Oui,Oui,,,Oui,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-zav1683-2/,Appartement,Ariana,la soukra,la soukra,ariana,410000,,9 octobre 2024,S+3,,3,1,,,,Oui,Oui,,Oui,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/appartement-s3-a-la-soukra-mav1504/,Appartement,Ariana,la soukra,la soukra,ariana,450000,,9 octobre 2024,S+3,RDC,3,1,,Oui,,Oui,Oui,,Oui,,,,,,,
