source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_chambres,nbre_sdb,niveau,piscine,jardin,garage,parking,balcon,climatisation,chauffage_central,dressing,titre_foncier,etat,standing,vue_mer,terrasse
behya.tn,https://www.behya.tn/tunisie-annonces/offre-construction-maison-a-djerba-houmt-souk-ref-p653-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,500,10 septembre 2024,1,1,,Oui,,,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s4-vue-mer-avec-piscine-a-gammarth-mvv0381/,Maison/Villa,Tunis,gammarth,gammarth,1000,5800000,,6 septembre 2024,4,1,,Oui,Oui,,,,Oui,Oui,,,,,Oui,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s6-avec-piscine-a-la-soukra-mvv0272/,Maison/Villa,Ariana,la soukra,la soukra,ariana,2200000,,3 septembre 2024,6,1,,Oui,Oui,Oui,,,Oui,Oui,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s4-a-ain-zaghouan-nord-mvv0380-2/,Maison/Villa,Tunis,ain zaghwene,ain zaghwene,1000,1200000,,26 août 2024,4,1,Plain-pied,,Oui,Oui,,,Oui,Oui,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-djerba-aghir-zu-ref-v681/,Maison/Villa,Medenine,Djerba,Djerba,6100,958000,625,24 août 2024,1,1,,Oui,Oui,Oui,,,Oui,Oui,Oui,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-mezraya-djerba-za-ref-v620/,Maison/Villa,Medenine,Mezraya,Mezraya,6100,850000,185,24 août 2024,,,,Oui,,,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/offre-construction-maison-a-djerba-houmt-souk-ref-p653/,Maison/Villa,Medenine,Djerba,Djerba,6100,0,500,24 août 2024,1,1,Plain-pied,Oui,,,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/duplex-s3-avec-terrasse-aux-jardins-de-carthage-zdv0022/,Maison/Villa,Tunis,jardins de carthage,jardins de carthage,1000,770000,,20 août 2024,3,1,,,Oui,,Oui,,Oui,Oui,,,Rénové,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s4-avec-piscine-a-gammarth-mvv0379/,Maison/Villa,Tunis,gammarth,gammarth,1000,2200000,,20 août 2024,4,1,,Oui,,Oui,,,Oui,Oui,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/belle-villa-avec-piscine-en-zone-touristique-djerba-ref-v623/,Maison/Villa,Medenine,Djerba,Djerba,6100,990000,628,16 août 2024,2,,,Oui,Oui,Oui,,,Oui,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/projet-villa-neuve-avec-piscine-a-mezraya-za-ref-v658/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,1365,9 août 2024,,1,,Oui,,,,,,,,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-djerba-za-titre-bleu-ref-v684/,Maison/Villa,Medenine,Djerba,Djerba,6100,830000,780,9 août 2024,,,2,Oui,,Oui,,,,,Oui,Bleu,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/une-tres-belle-villa-a-vendre-a-djerba/,Maison/Villa,Medenine,Djeba,Djeba,6100,580000,180,6 août 2024,2,1,,Oui,Oui,Oui,,,,,,,,,,
