source_site,site_url,title,description,price_numeric,price_text,property_type,location,city,region,surface,rooms,bedrooms,bathrooms,floor,total_floors,furnished,new_building,with_photo,photo_urls,publication_date,agent_name,phone,email,link,metadata,source_agent
tunisie_annonce,http://www.tunisie-annonce.com,Immeuble r3 marsa ettabek 8 appart,,2400000.0,2 400 000,Autre,Cite Du Stade,Stade,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3446652&titre=Immeuble r3 marsa ettabek 8 appartements,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10117&amp;rech_cod_loc=101171""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Manar très bel appartement,,250000.0,250 000,App. 3 pièc,El Manar 1,1,El,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3432966&titre=Manar très bel appartement,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10108&amp;rech_cod_loc=101081""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Bel studio av habib bourguiba tuni,,80000.0,80 000,App. 2 pièc,El Medina,Medina,El,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3377345&titre=Bel studio av habib bourguiba tunis,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10118&amp;rech_cod_loc=101180""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Menzah8 maison av,,280000.0,280 000,Maisons,El Menzah 8,8,El,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3449776&titre=Menzah8 maison av,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10201&amp;rech_cod_loc=102012""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Appartement vt s3 a la marsa,,775000.0,775 000,App. 4 pièc,Cite Du Stade,Stade,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3141401&titre=Appartement vt s3 a la marsa,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10117&amp;rech_cod_loc=101171""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Villa vt la soukra sidi salah,,950000.0,950 000,Maisons,Sidi Salah,Salah,Sidi,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3143074&titre=Villa vt la soukra sidi salah,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10204&amp;rech_cod_loc=102045""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Boutique vide manar sfax,,29000.0,29 000,Autre,Sfax,Sfax,Sfax,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=2990845&titre=Boutique vide manar sfax,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11815&amp;rech_cod_loc=118154""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Bel appartement s4 suite à jardin de ca,,610000.0,610 000,App. 4 pièc,Jardins de Cart,Cart,Jardins,,,,,,,False,False,False,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3451135&titre=Bel appartement s4 suite à jardin de carthage,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10122&amp;rech_cod_loc=101220""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Maison dangle neuve 2025 tunis,,250000.0,250 000,Maisons,Bou Mhel,Mhel,Bou,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3427658&titre=Maison dangle neuve 2025 tunis,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10302&amp;rech_cod_loc=103020""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Appartement 3p mourouj 5,,110000.0,110 000,App. 2 pièc,Cite El Mourouj,Mourouj,Cite,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3427437&titre=Appartement 3p mourouj 5,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10303&amp;rech_cod_loc=103031""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Des appartements direct promoteur,,208000.0,208 000,App. 2 pièc,Ain Zaghouan,Zaghouan,Ain,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3366388&titre=Des appartements direct promoteur,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=10122&amp;rech_cod_loc=101220""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Villa swarovski,,1390000.0,1 390 000,Maisons,Hammamet,Hammamet,Hammamet,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3448561&titre=Villa swarovski,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11709&amp;rech_cod_loc=117094""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Villa  verde,,830000.0,830 000,Maisons,Hammamet,Hammamet,Hammamet,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3426766&titre=Villa  verde,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11709&amp;rech_cod_loc=117094""}",tunisie_annonce
tunisie_annonce,http://www.tunisie-annonce.com,Villa  versace,,10100.0,10 100,Maisons,Hammamet,Hammamet,Hammamet,,,,,,,False,False,True,[],2026-02-24,,,,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3408750&titre=Villa  versace,"{""raw_preview"": ""[<td bgcolor=\""#294a73\"" height=\""20\""><img alt=\""\"" height=\""1\"" src=\""/images/space.gif\"" width=\""1\""/></td>, <td>  <a href=\""AnnoncesImmobilier.asp?rech_cod_pay=TN&amp;rech_cod_vil=11709&amp;rech_cod_loc=117094""}",tunisie_annonce
